,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,date_str
35,248.11,249.1999,246.0,247.99,87981315.0,249.1999,246.0,247.99,247.975,88331081.0,1.0,0.0,AAPL,XNAS,2026-03-20 00:00:00+00:00,Mar 20
30,253.99,254.56,250.28,251.49,37465587.0,254.6,250.28,251.49,253.97,40546109.0,1.0,0.0,AAPL,XNAS,2026-03-23 00:00:00+00:00,Mar 23
25,250.49,254.825,249.55,251.64,27882961.0,254.825,249.55,251.64,250.35,45152288.0,1.0,0.0,AAPL,XNAS,2026-03-24 00:00:00+00:00,Mar 24
20,254.1,255.0,251.6,252.62,28436700.0,255.0,251.6,252.62,254.095,28476668.0,1.0,0.0,AAPL,XNAS,2026-03-25 00:00:00+00:00,Mar 25
15,251.995,257.0,250.775,252.89,41331888.0,257.0,250.77,252.89,252.115,41796650.0,1.0,0.0,AAPL,XNAS,2026-03-26 00:00:00+00:00,Mar 26
10,253.91,255.493,248.07,248.8,46525772.0,255.493,248.07,248.8,253.9,47899998.0,1.0,0.0,AAPL,XNAS,2026-03-27 00:00:00+00:00,Mar 27
5,249.995,250.84,245.51,246.63,38248670.0,250.87,245.51,246.63,250.07,39446213.0,1.0,0.0,AAPL,XNAS,2026-03-30 00:00:00+00:00,Mar 30
0,247.89,255.48,247.101,253.79,48770963.0,255.48,247.101,253.79,247.91,49598091.0,1.0,0.0,AAPL,XNAS,2026-03-31 00:00:00+00:00,Mar 31
106,204.55,209.72,203.48,208.39,43410499.0,209.73,203.46,208.39,204.55,46001010.0,1.0,0.0,AMZN,XNAS,2026-03-02 00:00:00+00:00,Mar 02
101,203.23,209.178,202.48,208.73,42680032.0,209.178,202.48,208.73,203.1,43184918.0,1.0,0.0,AMZN,XNAS,2026-03-03 00:00:00+00:00,Mar 03
